id_a,id_b,friendship,proximity,sms,calls
5,56,not_friend,close,not_texted,not_called
60,76,friend,not_close,not_texted,not_called
17,74,not_friend,not_close,not_texted,not_called
14,17,not_friend,not_close,not_texted,not_called
11,53,not_friend,not_close,not_texted,not_called
35,39,friend,not_close,not_texted,not_called
13,50,not_friend,not_close,not_texted,not_called
30,43,not_friend,close,not_texted,not_called
33,65,not_friend,not_close,not_texted,not_called
38,78,friend,not_close,not_texted,not_called
2,14,not_friend,not_close,not_texted,not_called
22,38,not_friend,not_close,not_texted,not_called
6,62,friend,close,not_texted,called
38,67,not_friend,not_close,not_texted,not_called
71,72,not_friend,close,not_texted,not_called
17,34,not_friend,not_close,not_texted,not_called
22,25,not_friend,not_close,not_texted,not_called
22,70,friend,close,not_texted,called
26,48,friend,not_close,not_texted,not_called
68,76,friend,not_close,not_texted,not_called
30,72,friend,close,not_texted,not_called
45,59,friend,close,not_texted,called
42,47,friend,close,not_texted,not_called
38,47,friend,not_close,not_texted,not_called
5,36,friend,close,not_texted,not_called
8,40,not_friend,not_close,not_texted,not_called
26,64,not_friend,not_close,not_texted,not_called
48,57,not_friend,not_close,not_texted,not_called
5,62,friend,close,not_texted,called
45,84,friend,not_close,not_texted,not_called
13,76,not_friend,not_close,not_texted,not_called
2,52,friend,close,not_texted,not_called
1,74,not_friend,not_close,not_texted,not_called
34,65,not_friend,not_close,not_texted,not_called
41,70,friend,not_close,not_texted,not_called
38,49,not_friend,not_close,not_texted,not_called
7,8,not_friend,close,not_texted,not_called
6,44,friend,close,not_texted,called
42,81,friend,not_close,not_texted,not_called
50,82,not_friend,not_close,not_texted,not_called
22,24,not_friend,not_close,not_texted,not_called
19,45,friend,close,not_texted,not_called
19,64,not_friend,not_close,not_texted,not_called
22,63,not_friend,not_close,not_texted,not_called
25,64,not_friend,not_close,not_texted,not_called
13,47,not_friend,not_close,not_texted,not_called
14,77,friend,not_close,not_texted,not_called
8,31,not_friend,close,not_texted,not_called
22,36,friend,not_close,not_texted,called
7,84,not_friend,not_close,not_texted,not_called
46,73,not_friend,not_close,not_texted,not_called
7,51,not_friend,not_close,not_texted,not_called
36,79,friend,not_close,not_texted,not_called
11,40,not_friend,not_close,not_texted,not_called
31,43,not_friend,close,not_texted,not_called
25,33,not_friend,not_close,not_texted,not_called
29,71,friend,close,not_texted,not_called
26,46,friend,close,not_texted,not_called
18,26,friend,close,not_texted,called
3,46,not_friend,not_close,not_texted,not_called
5,14,friend,close,not_texted,not_called
5,38,friend,not_close,not_texted,called
10,30,not_friend,not_close,not_texted,not_called
48,56,not_friend,close,not_texted,not_called
53,71,friend,not_close,not_texted,not_called
62,84,friend,not_close,not_texted,not_called
32,68,friend,not_close,not_texted,called
46,79,friend,close,not_texted,not_called
12,46,not_friend,close,not_texted,not_called
60,69,not_friend,close,not_texted,not_called
3,5,not_friend,not_close,not_texted,not_called
54,59,friend,not_close,not_texted,not_called
32,33,not_friend,not_close,not_texted,not_called
27,70,not_friend,close,not_texted,not_called
35,70,friend,close,not_texted,not_called
46,82,friend,not_close,not_texted,not_called
77,84,not_friend,not_close,not_texted,not_called
11,62,not_friend,close,not_texted,not_called
35,64,not_friend,not_close,not_texted,not_called
39,52,friend,not_close,not_texted,not_called
21,71,not_friend,close,not_texted,not_called
52,83,friend,not_close,not_texted,not_called
27,52,friend,close,not_texted,not_called
5,49,not_friend,close,not_texted,not_called
57,83,friend,not_close,not_texted,not_called
69,83,not_friend,not_close,not_texted,not_called
17,18,not_friend,not_close,not_texted,not_called
27,41,not_friend,not_close,not_texted,not_called
20,52,friend,close,not_texted,not_called
53,62,friend,not_close,not_texted,not_called
42,46,friend,close,not_texted,not_called
30,54,friend,not_close,not_texted,not_called
40,80,friend,not_close,not_texted,not_called
25,62,not_friend,not_close,not_texted,not_called
65,69,friend,close,not_texted,not_called
36,56,not_friend,close,not_texted,not_called
22,41,not_friend,not_close,not_texted,not_called
6,15,friend,not_close,not_texted,not_called
25,42,not_friend,close,not_texted,not_called
50,77,not_friend,not_close,not_texted,not_called
75,82,friend,not_close,not_texted,not_called
73,83,friend,not_close,not_texted,not_called
48,55,not_friend,not_close,not_texted,not_called
20,38,friend,close,not_texted,not_called
38,79,friend,not_close,not_texted,called
54,55,not_friend,not_close,not_texted,not_called
15,24,not_friend,close,not_texted,not_called
10,12,not_friend,not_close,not_texted,not_called
37,55,not_friend,not_close,not_texted,not_called
15,53,not_friend,not_close,not_texted,not_called
20,67,friend,close,not_texted,not_called
54,79,friend,not_close,not_texted,not_called
4,37,not_friend,not_close,not_texted,not_called
12,60,friend,not_close,not_texted,not_called
36,76,not_friend,not_close,not_texted,not_called
28,44,friend,not_close,not_texted,not_called
20,25,friend,close,not_texted,not_called
12,28,not_friend,not_close,not_texted,not_called
3,11,friend,not_close,not_texted,not_called
20,70,friend,close,not_texted,not_called
41,50,not_friend,not_close,not_texted,not_called
70,79,friend,close,not_texted,not_called
6,8,not_friend,not_close,not_texted,not_called
31,39,not_friend,not_close,not_texted,not_called
23,83,friend,not_close,not_texted,not_called
59,79,friend,close,not_texted,not_called
18,69,not_friend,close,not_texted,not_called
44,72,friend,close,not_texted,not_called
3,28,friend,not_close,not_texted,not_called
13,27,not_friend,not_close,not_texted,not_called
75,77,not_friend,not_close,not_texted,not_called
24,66,not_friend,not_close,not_texted,not_called
73,81,not_friend,not_close,not_texted,not_called
50,55,not_friend,not_close,not_texted,not_called
14,74,friend,not_close,not_texted,called
35,41,not_friend,not_close,not_texted,not_called
4,57,friend,close,not_texted,not_called
29,67,friend,close,not_texted,not_called
12,26,friend,not_close,not_texted,not_called
3,26,not_friend,not_close,not_texted,not_called
69,76,not_friend,close,not_texted,not_called
21,53,not_friend,not_close,not_texted,not_called
14,66,not_friend,close,not_texted,not_called
31,54,not_friend,not_close,not_texted,not_called
28,84,friend,not_close,not_texted,not_called
23,26,friend,not_close,not_texted,not_called
4,17,friend,not_close,not_texted,not_called
25,77,not_friend,not_close,not_texted,not_called
40,52,friend,not_close,not_texted,not_called
3,60,friend,not_close,not_texted,not_called
66,67,not_friend,close,not_texted,not_called
7,62,not_friend,close,not_texted,not_called
63,77,not_friend,not_close,not_texted,not_called
42,74,not_friend,not_close,not_texted,not_called
15,40,friend,not_close,not_texted,called
32,75,friend,close,not_texted,not_called
29,47,friend,close,not_texted,not_called
10,23,friend,not_close,not_texted,not_called
